"DEPARTAMENTO","MUNICIPIO","CODIGO DANE","ARMAS MEDIOS","FECHA HECHO","GENERO","GRUPO ETARÍO","DESCRIPCIÓN CONDUCTA","CANTIDAD"
"QUINDÍO","Calarca","63130000","MOTO","28/03/2021","MASCULINO","NO REPORTADO","ARTÍCULO 109. HOMICIDIO CULPOSO ( EN ACCIDENTE DE TRÁNSITO)","1"
"QUINDÍO","Calarca","63130000","MOTO","08/10/2021","MASCULINO","NO REPORTADO","ARTÍCULO 109. HOMICIDIO CULPOSO ( EN ACCIDENTE DE TRÁNSITO)","1"
"QUINDÍO","Calarca","63130000","MOTO","13/04/2022","FEMENINO","NO REPORTADO","ARTÍCULO 109. HOMICIDIO CULPOSO ( EN ACCIDENTE DE TRÁNSITO)","1"
"QUINDÍO","Calarca","63130000","MOTO","10/07/2022","MASCULINO","NO REPORTADO","ARTÍCULO 109. HOMICIDIO CULPOSO ( EN ACCIDENTE DE TRÁNSITO)","1"
"QUINDÍO","Calarca","63130000","MOTO","11/08/2022","FEMENINO","NO REPORTADO","ARTÍCULO 109. HOMICIDIO CULPOSO ( EN ACCIDENTE DE TRÁNSITO)","1"
"QUINDÍO","Calarca","63130000","MOTO","05/01/2011","MASCULINO","NO REPORTADO","ARTÍCULO 109. HOMICIDIO CULPOSO ( EN ACCIDENTE DE TRÁNSITO)","1"
"QUINDÍO","Calarca","63130000","MOTO","21/08/2012","MASCULINO","NO REPORTADO","ARTÍCULO 109. HOMICIDIO CULPOSO ( EN ACCIDENTE DE TRÁNSITO)","1"
"QUINDÍO","Calarca","63130000","MOTO","24/11/2012","MASCULINO","NO REPORTADO","ARTÍCULO 109. HOMICIDIO CULPOSO ( EN ACCIDENTE DE TRÁNSITO)","1"
"QUINDÍO","Calarca","63130000","MOTO","26/11/2012","MASCULINO","NO REPORTADO","ARTÍCULO 109. HOMICIDIO CULPOSO ( EN ACCIDENTE DE TRÁNSITO)","1"
"QUINDÍO","Calarca","63130000","MOTO","09/12/2012","MASCULINO","NO REPORTADO","ARTÍCULO 109. HOMICIDIO CULPOSO ( EN ACCIDENTE DE TRÁNSITO)","1"
"QUINDÍO","Calarca","63130000","NO REPORTADO","22/10/2019","MASCULINO","NO REPORTADO","ARTÍCULO 109. HOMICIDIO CULPOSO ( EN ACCIDENTE DE TRÁNSITO)","1"
"QUINDÍO","Calarca","63130000","SIN EMPLEO DE ARMAS","05/06/2021","MASCULINO","NO REPORTADO","ARTÍCULO 109. HOMICIDIO CULPOSO ( EN ACCIDENTE DE TRÁNSITO)","1"
"QUINDÍO","Calarca","63130000","SIN EMPLEO DE ARMAS","21/07/2021","MASCULINO","NO REPORTADO","ARTÍCULO 109. HOMICIDIO CULPOSO ( EN ACCIDENTE DE TRÁNSITO)","1"
"QUINDÍO","Calarca","63130000","SIN EMPLEO DE ARMAS","20/09/2021","MASCULINO","NO REPORTADO","ARTÍCULO 109. HOMICIDIO CULPOSO ( EN ACCIDENTE DE TRÁNSITO)","1"
"QUINDÍO","Calarca","63130000","SIN EMPLEO DE ARMAS","21/03/2021","FEMENINO","NO REPORTADO","ARTÍCULO 109. HOMICIDIO CULPOSO ( EN ACCIDENTE DE TRÁNSITO)","1"
"QUINDÍO","Calarca","63130000","SIN EMPLEO DE ARMAS","15/10/2021","MASCULINO","NO REPORTADO","ARTÍCULO 109. HOMICIDIO CULPOSO ( EN ACCIDENTE DE TRÁNSITO)","1"
"QUINDÍO","Calarca","63130000","SIN EMPLEO DE ARMAS","22/12/2021","MASCULINO","NO REPORTADO","ARTÍCULO 109. HOMICIDIO CULPOSO ( EN ACCIDENTE DE TRÁNSITO)","1"
"QUINDÍO","Calarca","63130000","SIN EMPLEO DE ARMAS","29/03/2022","MASCULINO","NO REPORTADO","ARTÍCULO 109. HOMICIDIO CULPOSO ( EN ACCIDENTE DE TRÁNSITO)","1"
"QUINDÍO","Calarca","63130000","SIN EMPLEO DE ARMAS","31/03/2022","MASCULINO","NO REPORTADO","ARTÍCULO 109. HOMICIDIO CULPOSO ( EN ACCIDENTE DE TRÁNSITO)","1"
"QUINDÍO","Calarca","63130000","SIN EMPLEO DE ARMAS","23/09/2022","MASCULINO","NO REPORTADO","ARTÍCULO 109. HOMICIDIO CULPOSO ( EN ACCIDENTE DE TRÁNSITO)","1"
"QUINDÍO","Calarca","63130000","SIN EMPLEO DE ARMAS","05/10/2022","MASCULINO","NO REPORTADO","ARTÍCULO 109. HOMICIDIO CULPOSO ( EN ACCIDENTE DE TRÁNSITO)","1"
"QUINDÍO","Calarca","63130000","SIN EMPLEO DE ARMAS","14/01/2023","MASCULINO","ADULTOS","ARTÍCULO 109. HOMICIDIO CULPOSO ( EN ACCIDENTE DE TRÁNSITO)","1"
"QUINDÍO","Calarca","63130000","SIN EMPLEO DE ARMAS","08/03/2023","MASCULINO","ADULTOS","ARTÍCULO 109. HOMICIDIO CULPOSO ( EN ACCIDENTE DE TRÁNSITO)","1"
"QUINDÍO","Calarca","63130000","SIN EMPLEO DE ARMAS","01/09/2023","MASCULINO","ADULTOS","ARTÍCULO 109. HOMICIDIO CULPOSO ( EN ACCIDENTE DE TRÁNSITO)","1"
"QUINDÍO","Calarca","63130000","SIN EMPLEO DE ARMAS","06/10/2023","MASCULINO","ADULTOS","ARTÍCULO 109. HOMICIDIO CULPOSO ( EN ACCIDENTE DE TRÁNSITO)","1"
"QUINDÍO","Calarca","63130000","SIN EMPLEO DE ARMAS","05/11/2023","MASCULINO","ADULTOS","ARTÍCULO 109. HOMICIDIO CULPOSO ( EN ACCIDENTE DE TRÁNSITO)","1"
"QUINDÍO","Calarca","63130000","SIN EMPLEO DE ARMAS","05/11/2023","MASCULINO","ADULTOS","ARTÍCULO 109. HOMICIDIO CULPOSO ( EN ACCIDENTE DE TRÁNSITO)","1"
"QUINDÍO","Calarca","63130000","SIN EMPLEO DE ARMAS","14/12/2023","MASCULINO","ADULTOS","ARTÍCULO 109. HOMICIDIO CULPOSO ( EN ACCIDENTE DE TRÁNSITO)","1"
"QUINDÍO","Calarca","63130000","SIN EMPLEO DE ARMAS","14/12/2023","MASCULINO","ADULTOS","ARTÍCULO 109. HOMICIDIO CULPOSO ( EN ACCIDENTE DE TRÁNSITO)","1"
"QUINDÍO","Calarca","63130000","SIN EMPLEO DE ARMAS","22/05/2024","MASCULINO","ADULTOS","ARTÍCULO 109. HOMICIDIO CULPOSO ( EN ACCIDENTE DE TRÁNSITO)","1"
"QUINDÍO","Calarca","63130000","SIN EMPLEO DE ARMAS","27/09/2024","MASCULINO","ADULTOS","ARTÍCULO 109. HOMICIDIO CULPOSO ( EN ACCIDENTE DE TRÁNSITO)","1"
"QUINDÍO","Calarca","63130000","SIN EMPLEO DE ARMAS","27/09/2024","MASCULINO","ADULTOS","ARTÍCULO 109. HOMICIDIO CULPOSO ( EN ACCIDENTE DE TRÁNSITO)","1"
"QUINDÍO","Calarca","63130000","SIN EMPLEO DE ARMAS","27/09/2024","FEMENINO","ADULTOS","ARTÍCULO 109. HOMICIDIO CULPOSO ( EN ACCIDENTE DE TRÁNSITO)","1"
"QUINDÍO","Calarca","63130000","SIN EMPLEO DE ARMAS","21/12/2024","MASCULINO","ADULTOS","ARTÍCULO 109. HOMICIDIO CULPOSO ( EN ACCIDENTE DE TRÁNSITO)","1"
"QUINDÍO","Calarca","63130000","SIN EMPLEO DE ARMAS","31/01/2025","MASCULINO","ADULTOS","ARTÍCULO 109. HOMICIDIO CULPOSO ( EN ACCIDENTE DE TRÁNSITO)","1"
