"FECHA HECHO","COD_DEPTO","DEPARTAMENTO","COD_MUNI","MUNICIPIO","CANTIDAD"
"01/09/2009","63","QUINDIO","63130","CALARCA","1"
"01/09/2009","63","QUINDIO","63130","CALARCA","1"
"03/09/2009","63","QUINDIO","63130","CALARCA","1"
"04/09/2009","63","QUINDIO","63130","CALARCA","1"
"04/09/2009","63","QUINDIO","63130","CALARCA","1"
"05/09/2009","63","QUINDIO","63130","CALARCA","1"
"05/09/2009","63","QUINDIO","63130","CALARCA","1"
"11/09/2009","63","QUINDIO","63130","CALARCA","1"
"12/09/2009","63","QUINDIO","63130","CALARCA","1"
"13/09/2009","63","QUINDIO","63130","CALARCA","1"
"14/09/2009","63","QUINDIO","63130","CALARCA","1"
"16/09/2009","63","QUINDIO","63130","CALARCA","1"
"20/09/2009","63","QUINDIO","63130","CALARCA","1"
"20/09/2009","63","QUINDIO","63130","CALARCA","1"
"21/09/2009","63","QUINDIO","63130","CALARCA","1"
"22/09/2009","63","QUINDIO","63130","CALARCA","1"
"26/09/2009","63","QUINDIO","63130","CALARCA","1"
"28/09/2009","63","QUINDIO","63130","CALARCA","1"
"01/10/2009","63","QUINDIO","63130","CALARCA","1"
"04/10/2009","63","QUINDIO","63130","CALARCA","1"
"04/10/2009","63","QUINDIO","63130","CALARCA","1"
"04/10/2009","63","QUINDIO","63130","CALARCA","1"
"08/10/2009","63","QUINDIO","63130","CALARCA","1"
"10/10/2009","63","QUINDIO","63130","CALARCA","1"
"13/10/2009","63","QUINDIO","63130","CALARCA","1"
"14/10/2009","63","QUINDIO","63130","CALARCA","1"
"15/10/2009","63","QUINDIO","63130","CALARCA","1"
"16/10/2009","63","QUINDIO","63130","CALARCA","1"
"16/10/2009","63","QUINDIO","63130","CALARCA","1"
"17/10/2009","63","QUINDIO","63130","CALARCA","1"
"17/10/2009","63","QUINDIO","63130","CALARCA","1"
"17/10/2009","63","QUINDIO","63130","CALARCA","1"
"18/10/2009","63","QUINDIO","63130","CALARCA","1"
"22/10/2009","63","QUINDIO","63130","CALARCA","1"
"29/10/2009","63","QUINDIO","63130","CALARCA","1"
